marketoGUID,leadId,activityDate,activityTypeId,campaignId,primaryAttributeValueId,primaryAttributeValue,attributes
688623415,3985310,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":5,""AdRoll View Conversions"":0}"
688623416,5043675,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":20,""AdRoll View Conversions"":0}"
688623417,5068549,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":3,""AdRoll View Conversions"":0}"
688623418,5151496,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":1,""AdRoll View Conversions"":0}"
688623419,5701710,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":4,""AdRoll View Conversions"":0}"
688623420,4343278,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":6,""AdRoll View Conversions"":0}"
688623421,5420871,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":1,""AdRoll View Conversions"":0}"
688623422,2660253,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":9,""AdRoll View Conversions"":0}"
688623423,5139614,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":24,""AdRoll View Conversions"":0}"
688623424,5314516,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":1,""AdRoll View Conversions"":0}"
688623425,5537103,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":6,""AdRoll Impressions"":112,""AdRoll View Conversions"":0}"
688623426,6218493,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":2,""AdRoll View Conversions"":0}"
688623427,5804383,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":3,""AdRoll View Conversions"":0}"
688623428,5197977,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":24,""AdRoll View Conversions"":0}"
688623429,3244315,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":17,""AdRoll View Conversions"":0}"
688623430,3413980,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":1,""AdRoll View Conversions"":0}"
688623431,4538053,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":5,""AdRoll View Conversions"":0}"
688623432,5244534,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":34,""AdRoll View Conversions"":0}"
688623433,6264346,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":16,""AdRoll View Conversions"":0}"
688623434,4372901,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":5,""AdRoll View Conversions"":0}"
688623435,2655159,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":22,""AdRoll View Conversions"":0}"
688623436,6264621,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":148,""AdRoll View Conversions"":0}"
688623437,5436601,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":2,""AdRoll View Conversions"":0}"
688623438,5415372,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":1,""AdRoll Impressions"":39,""AdRoll View Conversions"":0}"
688623439,3718539,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":1,""AdRoll View Conversions"":0}"
688623440,6168567,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":89,""AdRoll View Conversions"":0}"
688623441,3662069,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":1,""AdRoll View Conversions"":0}"
688623442,5260297,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":5,""AdRoll View Conversions"":0}"
688623443,5654787,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":293,""AdRoll View Conversions"":0}"
688623444,6173027,2020-03-01T00:00:00Z,100001,null,1,Daily impressions and clicks,"{""AdRoll Click Conversions"":0,""AdRoll Clicks"":0,""AdRoll Impression Costs"":0,""AdRoll Impressions"":10,""AdRoll View Conversions"":0}"
