"t","x","p","s","c","i","z"
"2021-03-17T17:50:04.958Z","D",90.6779,15,"["" "",""I""]",71688226157652,"B"
"2021-03-17T17:50:12.550075648Z","N",90.61,100,"["" "",""F""]",52983525426248,"B"
"2021-03-17T17:50:12.551283689Z","V",90.66,67,"["" "",""I""]",55268919032380,"B"
"2021-03-17T17:50:14.461Z","D",90.61,2,"["" "",""I""]",71688226231893,"B"
"2021-03-17T17:50:14.705521408Z","P",90.61,100,"["" ""]",52983527395635,"B"
"2021-03-17T17:50:14.705521408Z","P",90.61,300,"["" ""]",52983527395634,"B"
"2021-03-17T17:50:14.705595648Z","N",90.61,100,"["" ""]",52983525426249,"B"
"2021-03-17T17:50:14.705761994Z","X",90.61,100,"["" ""]",62879148690269,"B"
"2021-03-17T17:50:14.705766102Z","T",90.66,100,"["" ""]",62879720492870,"B"
"2021-03-17T17:50:14.705766102Z","T",90.61,100,"["" ""]",62879720492871,"B"
"2021-03-17T17:50:14.70576722Z","B",90.61,100,"["" ""]",62879149870905,"B"
"2021-03-17T17:50:14.705971142Z","T",90.61,100,"["" "",""F""]",62879720492872,"B"
"2021-03-17T17:50:14.706977024Z","P",90.6,20,"["" "",""I""]",52983527395636,"B"
"2021-03-17T17:50:14.707173Z","K",90.6,36,"["" "",""F"",""I""]",52983525627487,"B"
"2021-03-17T17:50:14.707173Z","K",90.6,1,"["" "",""F"",""I""]",52983525627488,"B"
"2021-03-17T17:50:15.053Z","D",90.63,1,"["" "",""I""]",71688226232907,"B"
"2021-03-17T17:50:15.239740928Z","P",90.59,9,"["" "",""F"",""I""]",52983527395637,"B"
"2021-03-17T17:50:15.239740928Z","P",90.59,102,"["" "",""F""]",52983527395638,"B"
"2021-03-17T17:50:15.239740928Z","P",90.59,33,"["" "",""F"",""I""]",52983527395639,"B"
"2021-03-17T17:50:15.239749888Z","P",90.59,74,"["" "",""F"",""I""]",52983527395640,"B"
"2021-03-17T17:50:15.243715072Z","P",90.56,1,"["" "",""I""]",52983527395641,"B"
"2021-03-17T17:50:15.387305216Z","P",90.55,50,"["" "",""F"",""I""]",52983527395654,"B"
"2021-03-17T17:50:15.387364352Z","P",90.55,50,"["" "",""F"",""I""]",52983527395655,"B"
"2021-03-17T17:50:16.224Z","D",90.6099,1,"["" "",""I""]",79372342939972,"B"
"2021-03-17T17:50:17.476437504Z","P",90.52,3,"["" "",""F"",""I""]",52983527395889,"B"
"2021-03-17T17:50:17.517542Z","J",90.58,1,"["" "",""F"",""I""]",52983525161826,"B"
"2021-03-17T17:50:21.452Z","D",90.58,55,"["" "",""I""]",71688226362192,"B"
"2021-03-17T17:50:23.212Z","D",90.5001,10,"["" "",""I""]",71688226419767,"B"
"2021-03-17T17:50:26.255Z","D",90.555,200,"["" ""]",71688226426438,"B"
"2021-03-17T17:50:28.265379072Z","P",90.57,50,"["" "",""F"",""I""]",52983527395910,"B"
"2021-03-17T17:50:28.266637568Z","P",90.56,50,"["" "",""I""]",52983527395911,"B"
"2021-03-17T17:50:28.266684672Z","P",90.56,50,"["" "",""F"",""I""]",52983527395912,"B"
"2021-03-17T17:50:28.567335168Z","P",90.56,50,"["" "",""F"",""I""]",52983527395913,"B"
"2021-03-17T17:50:31.73Z","D",90.57,1,"["" "",""I""]",71688226492241,"B"
"2021-03-17T17:50:36.05883Z","Z",90.53,100,"["" "",""F""]",52983525553784,"B"
"2021-03-17T17:50:36.330429Z","Z",90.53,100,"["" ""]",52983525553968,"B"
"2021-03-17T17:50:36.333487214Z","V",90.53,100,"["" ""]",55269219456099,"B"
"2021-03-17T17:50:36.334245145Z","U",90.53,100,"["" ""]",53104204068201,"B"
"2021-03-17T17:50:36.343658Z","J",90.52,100,"["" ""]",52983525161834,"B"
"2021-03-17T17:50:36.343658Z","J",90.52,100,"["" ""]",52983525161835,"B"
"2021-03-17T17:50:36.343666Z","Y",90.52,200,"["" ""]",52983525170738,"B"
"2021-03-17T17:50:36.343789095Z","B",90.52,100,"["" ""]",62879149873975,"B"
"2021-03-17T17:50:36.34384384Z","N",90.52,100,"["" ""]",52983525426501,"B"
"2021-03-17T17:50:36.344003057Z","V",90.53,100,"["" ""]",55269219460201,"B"
"2021-03-17T17:50:36.34573Z","K",90.5,1,"["" "",""F"",""I""]",52983525627732,"B"
"2021-03-17T17:50:36.34573Z","K",90.5,100,"["" "",""F""]",52983525627735,"B"
"2021-03-17T17:50:36.34573Z","K",90.51,2,"["" "",""F"",""I""]",52983525627730,"B"
"2021-03-17T17:50:36.34573Z","K",90.5,25,"["" "",""F"",""I""]",52983525627733,"B"
"2021-03-17T17:50:36.34573Z","K",90.51,100,"["" "",""F""]",52983525627731,"B"
"2021-03-17T17:50:36.34573Z","K",90.5,1,"["" "",""F"",""I""]",52983525627734,"B"
"2021-03-17T17:50:36.34573Z","K",90.52,100,"["" "",""F""]",52983525627729,"B"
"2021-03-17T17:50:36.345736Z","Z",90.5,10,"["" "",""F"",""I""]",52983525553972,"B"
"2021-03-17T17:50:36.345736Z","Z",90.52,100,"["" "",""F""]",52983525553969,"B"
"2021-03-17T17:50:36.345736Z","Z",90.51,200,"["" "",""F""]",52983525553970,"B"
"2021-03-17T17:50:36.345736Z","Z",90.5,100,"["" "",""F""]",52983525553973,"B"
"2021-03-17T17:50:36.345736Z","Z",90.5,1,"["" "",""F"",""I""]",52983525553971,"B"
"2021-03-17T17:50:36.345856431Z","T",90.52,102,"["" "",""F""]",62879720753497,"B"
"2021-03-17T17:50:36.345901056Z","P",90.52,78,"["" "",""F"",""I""]",52983527396145,"B"
"2021-03-17T17:50:36.34591232Z","N",90.51,100,"["" "",""F""]",52983525426503,"B"
"2021-03-17T17:50:36.34591232Z","N",90.52,100,"["" "",""F""]",52983525426502,"B"
"2021-03-17T17:50:36.34746068Z","U",90.52,200,"["" ""]",53104204068708,"B"
"2021-03-17T17:50:36.347474Z","J",90.51,700,"["" ""]",52983525161836,"B"
"2021-03-17T17:50:36.347477Z","Y",90.51,700,"["" ""]",52983525170739,"B"
"2021-03-17T17:50:36.347477Z","Z",90.51,700,"["" ""]",52983525553974,"B"
"2021-03-17T17:50:36.347481Z","K",90.51,500,"["" ""]",52983525627736,"B"
"2021-03-17T17:50:36.347607098Z","B",90.51,700,"["" ""]",62879149873976,"B"
"2021-03-17T17:50:36.347608679Z","T",90.51,700,"["" ""]",62879720753498,"B"
"2021-03-17T17:50:36.347655424Z","N",90.51,200,"["" ""]",52983525426504,"B"
"2021-03-17T17:50:36.347761Z","Y",90.51,100,"["" ""]",52983525170740,"B"
"2021-03-17T17:50:36.34782031Z","V",90.52,100,"["" ""]",55269219463219,"B"
"2021-03-17T17:50:36.348959668Z","T",90.5,1,"["" "",""F"",""I""]",62879720753500,"B"
"2021-03-17T17:50:36.348959668Z","T",90.51,100,"["" "",""F""]",62879720753499,"B"
"2021-03-17T17:50:36.348959668Z","T",90.5,1,"["" "",""F"",""I""]",62879720753501,"B"
"2021-03-17T17:50:36.34900864Z","N",90.51,100,"["" "",""F""]",52983525426505,"B"
"2021-03-17T17:50:36.349017856Z","P",90.5,1,"["" "",""F"",""I""]",52983527396153,"B"
"2021-03-17T17:50:36.349017856Z","P",90.5,1,"["" "",""F"",""I""]",52983527396151,"B"
"2021-03-17T17:50:36.349017856Z","P",90.5,3,"["" "",""F"",""I""]",52983527396150,"B"
"2021-03-17T17:50:36.349017856Z","P",90.5,40,"["" "",""F"",""I""]",52983527396147,"B"
"2021-03-17T17:50:36.349017856Z","P",90.5,5,"["" "",""F"",""I""]",52983527396161,"B"
